image,preprocess,text_threshold,mag_ratio,contrast_ths,decoder,predicted_text,avg_confidence,cer,elapsed_sec
easyOCR_testimg\img_001_3px.png,adaptive_thresh,0.7,1.8,0.3,beamsearch,VV(,0.6363,N/A,6.526
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.0,0.1,greedy,기 (VC,0.379,N/A,2.105
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.0,0.1,beamsearch,기 (VC,0.379,N/A,2.091
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.0,0.3,greedy,기 (VC,0.379,N/A,2.18
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.0,0.3,beamsearch,기 (VC,0.379,N/A,2.381
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.8,0.1,greedy,VV(,0.6363,N/A,6.519
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.8,0.1,beamsearch,VV(,0.6363,N/A,6.949
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.8,0.3,greedy,VV(,0.6363,N/A,6.938
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.5,1.8,0.3,beamsearch,VV(,0.6363,N/A,6.759
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.0,0.1,greedy,기,0.1046,N/A,2.073
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.0,0.1,beamsearch,기,0.1046,N/A,2.204
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.0,0.3,greedy,기,0.1046,N/A,2.087
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.0,0.3,beamsearch,기,0.1046,N/A,2.341
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.8,0.1,greedy,VV(,0.6363,N/A,6.255
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.8,0.1,beamsearch,VV(,0.6363,N/A,7.505
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.8,0.3,greedy,VV(,0.6363,N/A,6.87
